sequence	16S_rRNA_Count	metadata_NSTI
SV_194_KI89A_clade	1	0.155817
SV_195_Oceanospirillales	2	0.115507
SV_196_SAR11_clade	1	0.0076430000000000005
SV_197_Oceanospirillales	1	0.294624
SV_198_Cellvibrionales	1	0.130198
SV_199_Flavobacteriales	1	0.275314
SV_19_Alteromonadales	5	0.007984
SV_1_Alteromonadales	5	0.007867
SV_200_Flavobacteriales	1	0.035479000000000004
SV_201_KI89A_clade	1	0.14643599999999998
SV_202_Flavobacteriales	1	0.49316099999999996
SV_203_NA	1	0.8566969999999999
SV_204_NB1-n	1	0.316916
SV_205_Flavobacteriales	2	0.023041
SV_206_SAR11_clade	1	0.007673
SV_207_Cellvibrionales	1	0.12046099999999998
SV_208_Rhodobacterales	1	0.05758099999999999
SV_209_Oceanospirillales	1	0.056991
SV_20_Flavobacteriales	5	0.024444999999999998
SV_210_Campylobacterales	4	0.146828
SV_211_Oceanospirillales	2	0.023886
SV_212_Oceanospirillales	1	0.011618
SV_213_Oceanospirillales	6	0.027986
SV_214_Cellvibrionales	2	0.24779400000000001
SV_215_NB1-n	1	0.6405850000000001
SV_216_Cytophagales	1	0.017183
SV_217_Flavobacteriales	1	0.22940700000000003
SV_218_Flavobacteriales	1	0.28733000000000003
SV_219_Flavobacteriales	1	0.297754
SV_21_Oceanospirillales	2	0.023578
SV_220_SAR11_clade	1	0.038905
SV_221_Cellvibrionales	1	0.039481999999999996
SV_222_Flavobacteriales	1	0.00015
SV_223_Alteromonadales	2	0.049874
SV_224_Rhodobacterales	3	0.00015
SV_225_Puniceicoccales	1	0.022838999999999998
SV_226_Flavobacteriales	2	0.007725
SV_227_Oceanospirillales	1	0.186856
SV_228_Rickettsiales	1	0.260457
SV_229_Rickettsiales	1	0.15755
SV_22_Micrococcales	1	0.17716600000000002
SV_230_Rhodobacterales	1	0.041302
SV_231_Rickettsiales	1	0.024355
SV_232_Thiotrichales	3	0.031549
SV_233_SAR11_clade	1	0.022137999999999998
SV_234_Flavobacteriales	1	0.239871
SV_235_SAR11_clade	1	0.006829000000000001
SV_236_Flavobacteriales	1	0.01257
SV_237_Cellvibrionales	1	0.057507
SV_238_Oceanospirillales	1	0.0076370000000000006
SV_239_Puniceicoccales	1	0.015166999999999998
SV_23_Rhodobacterales	1	0.00015
